 ,Area,Mean,StdDev,Min,Max,Median
1,8.703,105.290,4.654,94,123,105
2,8.703,105.290,3.594,94,119,105
3,8.703,103.360,3.096,98,114,103
4,8.703,104.310,3.431,92,112,104
5,8.703,103.390,3.238,93,113,103
6,8.703,103.450,3.924,95,124,104
7,8.703,104.120,3.844,94,126,104
8,8.703,102.850,3.583,94,116,103
9,8.703,103.080,3.541,95,115,103
10,8.703,104.370,4.054,94,120,104
11,8.703,116.220,7.130,100,131,116
12,8.703,116.650,6.965,99,137,116
13,8.703,126.270,8.994,107,151,125
14,8.703,152.770,19.200,97,199,153
15,8.703,139.060,12.081,113,167,139
16,8.703,125.750,10.101,106,154,125
17,8.703,124.100,12.532,102,158,124
18,8.703,140.890,12.808,119,200,141
19,8.703,145.270,12.678,122,182,145
20,8.703,119.180,7.766,103,143,119
