index,bin start,count
0,6.000,2
1,7.309,0
2,8.617,0
3,9.926,1
4,11.234,0
5,12.543,1
6,13.852,1
7,15.160,1
8,16.469,1
9,17.777,0
10,19.086,0
11,20.395,1
12,21.703,1
13,23.012,3
14,24.320,1
15,25.629,2
16,26.938,3
17,28.246,2
18,29.555,4
19,30.863,5
20,32.172,6
21,33.480,5
22,34.789,13
23,36.098,14
24,37.406,6
25,38.715,28
26,40.023,10
27,41.332,16
28,42.641,17
29,43.949,34
30,45.258,15
31,46.566,20
32,47.875,46
33,49.184,35
34,50.492,54
35,51.801,90
36,53.109,64
37,54.418,86
38,55.727,196
39,57.035,107
40,58.344,202
41,59.652,94
42,60.961,432
43,62.270,248
44,63.578,281
45,64.887,825
46,66.195,302
47,67.504,883
48,68.812,1964
49,70.121,675
50,71.430,1476
51,72.738,3868
52,74.047,2322
53,75.355,2026
54,76.664,4731
55,77.973,9957
56,79.281,4522
57,80.590,11777
58,81.898,23526
59,83.207,30240
60,84.516,40788
61,85.824,358053
62,87.133,540575
63,88.441,376417
64,89.750,1674282
65,91.059,1758832
66,92.367,1209410
67,93.676,2391417
68,94.984,7795668
69,96.293,15131491
70,97.602,14430799
71,98.910,99934669
72,100.219,133447903
73,101.527,85582453
74,102.836,280152201
75,104.145,124142052
76,105.453,107182775
77,106.762,138120498
78,108.070,47601372
79,109.379,28945639
80,110.688,18385892
81,111.996,25078342
82,113.305,8224276
83,114.613,4545109
84,115.922,6574287
85,117.230,2124491
86,118.539,1411389
87,119.848,2286456
88,121.156,704541
89,122.465,406969
90,123.773,507207
91,125.082,201224
92,126.391,129141
93,127.699,232271
94,129.008,73122
95,130.316,99179
96,131.625,55347
97,132.934,117215
98,134.242,53161
99,135.551,35777
100,136.859,73518
101,138.168,37704
102,139.477,19860
103,140.785,50078
104,142.094,27646
105,143.402,14091
106,144.711,33684
107,146.020,11703
108,147.328,16836
109,148.637,9453
110,149.945,22899
111,151.254,12339
112,152.562,6899
113,153.871,15866
114,155.180,6427
115,156.488,6696
116,157.797,11139
117,159.105,4300
118,160.414,5343
119,161.723,7803
120,163.031,3275
121,164.340,3314
122,165.648,2920
123,166.957,5201
124,168.266,2087
125,169.574,2223
126,170.883,3657
127,172.191,1445
128,173.500,1547
129,174.809,2569
130,176.117,1095
131,177.426,984
132,178.734,1741
133,180.043,824
134,181.352,655
135,182.660,605
136,183.969,1095
137,185.277,470
138,186.586,434
139,187.895,736
140,189.203,321
141,190.512,272
142,191.820,472
143,193.129,217
144,194.438,184
145,195.746,299
146,197.055,129
147,198.363,120
148,199.672,108
149,200.980,177
150,202.289,87
151,203.598,80
152,204.906,128
153,206.215,53
154,207.523,46
155,208.832,83
156,210.141,44
157,211.449,36
158,212.758,60
159,214.066,22
160,215.375,19
161,216.684,26
162,217.992,42
163,219.301,17
164,220.609,14
165,221.918,22
166,223.227,13
167,224.535,14
168,225.844,15
169,227.152,11
170,228.461,10
171,229.770,18
172,231.078,7
173,232.387,6
174,233.695,12
175,235.004,6
176,236.312,8
177,237.621,3
178,238.930,6
179,240.238,3
180,241.547,4
181,242.855,7
182,244.164,4
183,245.473,0
184,246.781,8
185,248.090,3
186,249.398,2
187,250.707,6
188,252.016,1
189,253.324,2
190,254.633,3
191,255.941,9
192,257.250,0
193,258.559,3
194,259.867,5
195,261.176,2
196,262.484,1
197,263.793,4
198,265.102,1
199,266.410,3
200,267.719,3
201,269.027,2
202,270.336,1
203,271.645,1
204,272.953,2
205,274.262,0
206,275.570,3
207,276.879,2
208,278.188,0
209,279.496,0
210,280.805,0
211,282.113,1
212,283.422,0
213,284.730,1
214,286.039,0
215,287.348,0
216,288.656,0
217,289.965,1
218,291.273,0
219,292.582,0
220,293.891,1
221,295.199,2
222,296.508,3
223,297.816,0
224,299.125,0
225,300.434,0
226,301.742,1
227,303.051,1
228,304.359,0
229,305.668,0
230,306.977,0
231,308.285,0
232,309.594,0
233,310.902,0
234,312.211,0
235,313.520,0
236,314.828,1
237,316.137,1
238,317.445,0
239,318.754,1
240,320.062,0
241,321.371,0
242,322.680,0
243,323.988,0
244,325.297,0
245,326.605,0
246,327.914,0
247,329.223,0
248,330.531,0
249,331.840,0
250,333.148,0
251,334.457,0
252,335.766,0
253,337.074,0
254,338.383,0
255,339.691,1
